name,location_id,website
Anita Restaurante e Petiscaria,8653451,https://www.ifood.com.br/delivery/curitiba-pr/anita-restaurante-e-petiscaria-barreirinha/20a16c80-eb9a-43dc-8ee0-89a78febce01
Costelao Fontana,8772404,
Dono De Dio,8787647,https://www.facebook.com/Pizzaria-Dono-de-Dio-940769595939008/
Picnic American Burger & Grill,8653485,http://www.picnicamericanburger.com.br/
Mexicano Bras-Mex Grill,8667431,http://www.restaurantemexicano.com.br
Brioche Padaria,8671627,https://www.facebook.com/BriocheCuritiba
Matteo,8684129,https://www.facebook.com/Matteo-Special-Burgers-1563009803959067
Pizzaria E Spaghetteria Chocolate Com Banana,8701606,http://www.chocolatecombanana.com.br/
Espetinhos Daniel E Xixo,8705661,http://www.facebook.com/pages/Espetinhos-Daniel-Xixo/126823307399166
Casa Velha Bar,8706200,https://www.facebook.com/casavelhabar/?locale=pt_PT
Bek's Bar,8724530,http://www.facebook.com/beksbar
Carne De Forno restaurante por quilo,8757436,https://www.facebook.com/Carne-De-Forno-restaurante-por-quilo-668916749845169
Al Babá,8759241,
Zimbro Gastronomia,8765404,https://www.facebook.com/zimbrogastronomiacuritiba
Padaria e Confeitaria O Padeiro Curitiba,23822636,
Churrascaria Marumby,8797365,http://churrascariamarumby.blogspot.com/
Integral Fit,8799624,http://www.integralfit.net
Confeitaria Quero Mais & Café,8806227,http://queromaisconfeitaria.com/
Shizen,8809890,http://shizendelivery.com.br
Restaurante Mangiare Per Tutti,8853255,
Al Sababa,8854479,http://www.facebook.com/alsababasiria
Zhao,8861793,
Goffredo Ristorante E Pizzeria,9453632,
Pantagruel Restaurante,9558321,http://www.facebook.com/Pantagruel-210677392284613
D'Olive Gastronomia,9562496,http://www.facebook.com/o.dolivegastronomia/
Hamburgueria Curitiba,9581280,http://hamburgueriacuritiba.com.br/br/
Kopenhagen - Shoping Barigui,10335934,http://www.kopenhagen.com.br
Sams Burger Chicken,9585972,https://www.facebook.com/samsburgerchicken
The High Cafe,9591124,http://www.facebook.com/thehighcafe/
Restaurante Peixinho,9593576,
Funfit Faz Bem,9593792,https://www.facebook.com/funfitfazbem/
Mustang Sally,9596134,https://mustangsally.com.br/restaurante/3/shopping-mueller
Funfit,9598029,
Habib's,9704337,
McDonald's - Jardim das Américas,9720937,http://www.mcdonalds.com.br
Natural Cafe,9721808,https://www.facebook.com/naturalcafecwb
Come Come Lanches,9729836,
Casa do Zé Restaurante,9740776,http://www.facebook.com/casadozecuritiba
Restaurante Comendador Grill,9741339,http://www.comendadorgrill.com.br
Madero Burger Shopping Curitiba,9744669,http://www.restaurantemadero.com.br/
Cantina do Praxedes,9763434,http://www.facebook.com/cantinadopraxedes/?ref=page_internal
Sirène Fish & Chips,9780970,http://www.sirene.com.br
Cusco Express,9785226,http://www.cuscoexpress.com.br
Cusco Express,9788876,
Curitiba Sunset Café,9791910,http://www.curitibasunsetcafe.com.br
Red Velvet Coffe Shop,9793876,https://www.facebook.com/1640388346200985
Comidalia,9814988,https://www.facebook.com/comidaliagastronomia
Allure,9820179,http://www.restauranteallure.com.br/allure/
277 Hamburgueria,9855404,http://www.277hamburgueria.com.br/
Salsa Grill,9861389,http://www.facebook.com/Salsa-GrillExpress
Baita X,10341765,https://www.facebook.com/BaitaX
Pizza.,9866631,http://www.sitedapizza.com
Terra Café & Bistrô,9867297,http://www.facebook.com/terracafecwb/?ref=hl
Gorlami Veloce Pizzeria,9872349,
VegVeg Empório Vegetariano,9978279,https://www.facebook.com/vegvegemporiovegetariano/
Volta ao Mundo Massas Criativas,9982369,http://www.facebook.com/voltaaomundomassas
The Meatpack House,9996439,http://www.meatpack.com.br/
Everest Inn,10042099,https://www.facebook.com/Restauranteeverestinn/
Madero Steak House Pátio Batel,10044820,http://www.restaurantemadero.com.br
Bocca Lupo,10047420,https://www.facebook.com/boccalupocwb
Il Barbuto Ctba,10487170,
Casa do Neu Empório & Bistrô,10055785,http://www.facebook.com/CasadoNeu/
King Temaki - Comida Japonesa,10063329,http://kingtemaki.com.br/site/gallery-category/lojas/
Involtini Ristorante,10069431,http://whats.link/involtiniristorante
Restaurante Emiliano,10073229,
Restaurante Le Doyen,10107268,
Funiculi Pizza Pasta e Panini,10107298,http://www.dudusperandio.com.br
Du André Culinária Portuguesa,10110624,http://duandreculinaria.wixsite.com/duandreculinaria
Miranda Restaurante,10119481,http://www.restaurantemiranda.com.br
Dona Conceicao,10160944,
Dom Cervantes Pub,10166418,http://www.facebook.com/DomCervantesBeer
Espaco Rockefeller,10176988,http://www.facebook.com/Espaco-Rockefeller-nutri%C3%A7%C3%A3o-e-bem-estar-246309512194840/
Osteria Donna Lenna,10185479,http://www.osteriadonnalena.com.br
Bendito Bentō,10186350,http://www.facebook.com/benditobento/
Friends Gastroclub,10192949,http://www.friendsgastroclub.com.br/
Barolo Barigui,10193911,http://barolotrattoria.com.br/barigui/
Las Artes Bistro,10214447,
Yage,10223186,http://www.restauranteyage.com.br
Empório Rosmarino,10226109,http://www.emporiorosmarino.com.br
Buffet Caseiro,10227184,
Pastelaria Curitiba Rua 24hrs,10230494,
Churrascaria Curitiba,10267241,
Ken Taki,10268681,http://www.kentaki.com.br/unidade-champagnat/
Empada Curitibana,10270589,https://www.facebook.com/Empada-Curitibana-305889279540553
Goodies Bakery - Unidade Batel,10305753,http://www.goodiesbakery.com.br
Flor de Anis Gastronomia Vegetariana & Eventos,10361326,http://www.flordeanisgastronomia.com.br/
The 80'S,10375487,http://www.the80s.com.br/
Verd & Co.,10383775,http://www.verdco.com.br
Pastel Yamashiro,10384993,
Maria Quindim,10397128,https://www.facebook.com/375822682532359
Mundial Food Mf Restaurante,10428391,
Cinque Gastronomia,10432989,http://www.cinquegastronomia.com/
Rock N Grill Shopping Total,10468608,
Izakaya Tanuki,10472476,http://www.izakayatanuki.com.br
Fabrika Paes,10478291,http://www.facebook.com/fabrikapaesecafe
Curitiba Honesta Gastronomia,10479648,http://www.curitibahonesta.com.br
Coco Bambu,10483622,https://cocobambu.com/unidades/curitiba/
Camarao Express,12068205,https://www.facebook.com/Camar%C3%A3o-Express-1046556945392270/
Alchemia Bar,10487581,https://www.facebook.com/245397662479257
BOX 4 Empório e Bebidas Especiais,10498481,
Ravello Trattoria,10546673,https://www.facebook.com/RavelloTrattoria/
GreenGo Vegetariano,10594869,https://linkfleep.com.br/greengo/
Nuu Nikkei,10595857,http://nuunikkei.com.br
Salgaderia a Original,10618897,
Restaurante Casa Varela,10621223,http://www.instagram.com/varelacasa
Espaço Arte e Confeito,10626298,http://www.facebook.com/espacoarteeconfeito/
Gogo Sushi,10626634,http://www.gogosushi.com.br
BaraQuias,10626679,http://www.baraquias.com
Sorvetes Gaúcho,10832709,
Nayme Culinária Árabe,10644044,https://www.facebook.com/restaurantenayme/
Choripan,10675664,http://www.choripan.com.br
Dina Pizza Água Verde,10680079,https://www.dinapizza.com.br/
Bistrô 48,10680293,
Kareya Restaurante Japonês,10687464,http://www.kareya.com.br
Kapital Grill Restaurante,10693572,https://www.facebook.com/314704488606941
Hamburguer Sub Ahu,10717677,https://www.facebook.com/hamburgerSubAhu/home
Oka Cozinha Oriental,10718994,https://www.facebook.com/1413737198748893
Pizzaria Focarili,10723554,http://www.pizzariafocarili.com.br/
San Domingos Restaurante,11721969,https://www.facebook.com/121005351592339
