location_id,sentiment_label,rating
14175809,negativo,1
14175809,positivo,5
14175809,negativo,1
14175809,negativo,1
14175809,negativo,2
14190543,positivo,5
14190543,positivo,4
14192392,positivo,3
14190543,positivo,5
14190543,positivo,5
14190543,positivo,4
14190543,positivo,4
14190543,positivo,5
14190543,neutro,3
14190543,positivo,5
14190543,positivo,5
14190543,positivo,5
14192392,positivo,5
14192392,positivo,4
14192392,neutro,3
14192392,positivo,5
14192392,positivo,5
14192392,positivo,5
14192392,positivo,5
14192392,positivo,5
14192392,positivo,4
14192392,positivo,4
14192392,positivo,4
14770060,negativo,3
14770060,positivo,5
14770060,positivo,5
14770060,negativo,2
14770060,positivo,5
14770060,positivo,5
14770060,positivo,5
14770060,positivo,5
14770060,positivo,4
14770060,positivo,4
14770060,positivo,5
14770060,positivo,3
5649443,positivo,5
5649443,positivo,5
14770060,positivo,5
14791302,positivo,5
14791302,positivo,5
14791302,positivo,5
14791302,positivo,5
14791302,positivo,5
14798161,positivo,5
14791302,positivo,5
14791302,positivo,5
14791302,positivo,5
14791302,positivo,5
14791302,positivo,4
14791302,positivo,4
14791302,positivo,5
5649443,negativo,3
5649443,positivo,4
14791302,positivo,5
14791302,positivo,5
14791302,positivo,4
14791302,positivo,5
14791302,positivo,5
14791302,positivo,5
14791302,positivo,5
14791302,positivo,5
14791302,positivo,5
14798161,positivo,5
14791302,positivo,4
14798161,negativo,1
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,negativo,2
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14798161,positivo,5
14912921,negativo,1
14803376,negativo,1
14803376,positivo,4
14803376,positivo,5
14803376,positivo,3
14803376,positivo,5
14803376,positivo,4
14803376,positivo,4
14803376,positivo,5
14803376,positivo,4
14970067,positivo,5
14912921,positivo,5
14912921,positivo,5
14912921,positivo,5
14912921,positivo,5
14912921,positivo,5
14912921,positivo,5
14912921,positivo,4
5639430,positivo,5
14912921,positivo,4
14912921,negativo,1
14912921,positivo,5
14912921,positivo,5
14970067,negativo,1
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
7809855,positivo,4
5639430,positivo,4
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
14970067,positivo,5
15112258,positivo,5
15007989,positivo,5
15007989,positivo,5
15007989,positivo,5
15007989,negativo,3
